"metric","metric_label","model_id","model_alias","pareto_rank","line_id","cell_line","parameter","parameter_label","baseline_metric","elevated_metric","metric_delta","baseline_parameter","elevated_parameter","log2_elevated_vs_baseline","fit_id","best_start"
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,3,"SNU668","ah[1]","K1",0,1,1,0.359749130562525,0.389152245626418,0.113343482024314,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,3,"SNU668","Y_R[1]","y1",0,1,1,13596.6803461834,12557.8933586997,-0.114659991743453,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,3,"SNU668","m","m",0,1,1,0.0158998635181969,0.00951091651212266,-0.741358104616224,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,4,"SUM-159-chem","ae[1]","v1",0,1,1,0.000101495389453023,0.000147418896208801,0.538507268684937,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,4,"SUM-159-chem","ah[1]","K1",0,1,1,0.233485780720357,0.252569104884528,0.113343482024314,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,4,"SUM-159-chem","Y_R[1]","y1",0,1,1,4740.46115355542,4378.28970908459,-0.114659991743453,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,4,"SUM-159-chem","m","m",0,1,1,0.0152189086585068,0.00910358566858272,-0.741358104616223,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,5,"SUM-159-fuse","ae[1]","v1",0,1,1,7.90273996495482e-05,0.000114784839876696,0.538507268684937,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,5,"SUM-159-fuse","ah[1]","K1",0,1,1,0.241078577720743,0.260782478461458,0.113343482024314,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,5,"SUM-159-fuse","Y_R[1]","y1",0,1,1,69087.2826230784,63809.0111360528,-0.11465999174345,"all_lines__2r_2p_1w_c0_m0",120
"ploidy","Ploidy","2R_2P_1W_C0_M0","2R(f),W(m)",5,5,"SUM-159-fuse","m","m",0,1,1,0.0243131234789472,0.0145435265713161,-0.741358104616224,"all_lines__2r_2p_1w_c0_m0",120
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,1,"MCF10A","ae[1]","v1",0,0.653535253550523,0.653535253550523,3.51419728354655e-05,4.63671187713075e-05,0.399906896089665,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,1,"MCF10A","ah[1]","K1",0,0.653535253550523,0.653535253550523,0.141449877113182,0.167821889524225,0.246639979823282,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,1,"MCF10A","Y_R[1]","y1",0,0.653535253550523,0.653535253550523,1606.78432935976,971.861264240312,-0.725354011135234,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,1,"MCF10A","m","m",0,0.653535253550523,0.653535253550523,0.0150447212991641,0.0121348879251199,-0.310096597075712,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,2,"MDA-MB-231","ae[1]","v1",0,-0.000469703745281697,-0.000469703745281697,8.26383470950997e-05,8.26218852799824e-05,-0.000287417956163701,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,2,"MDA-MB-231","ah[1]","K1",0,-0.000469703745281697,-0.000469703745281697,0.0872312971665881,0.0872205797628629,-0.00017726315700594,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,2,"MDA-MB-231","Y_R[1]","y1",0,-0.000469703745281697,-0.000469703745281697,632.904559083179,633.133301747119,0.000521320760945272,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,2,"MDA-MB-231","m","m",0,-0.000469703745281697,-0.000469703745281697,0.029801510657409,0.0298061148055623,0.000222870200581273,"all_lines_cell_area__1r_1p_0w_c0_m1",148
