"model_id","model_alias","pareto_rank","metric","cell_line","glucose_mM","delta_log_lik","n_wells","glucose_label"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MDA-MB-231",0.5,-0.876569999999958,2,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MDA-MB-231",0.5,1.12492000000009,2,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MDA-MB-231",0.5,6.03570000000002,2,"0.50"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MDA-MB-231",0.5,5.56720999999999,2,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MDA-MB-231",0.5,5.50720000000001,2,"0.50"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SNU668",0.5,-5.05148000000003,2,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SNU668",0.5,-7.78795999999994,2,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SNU668",0.5,-7.61419999999998,2,"0.50"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SNU668",0.5,0.455190000000016,2,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SNU668",0.5,1.66924000000006,2,"0.50"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SNU668",0.5,-9.64069999999998,2,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SNU668",0.5,-10.18344,2,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SNU668",0.5,-7.54463000000004,2,"0.50"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SNU668",0.5,-2.82471000000004,2,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SNU668",0.5,-1.24679999999995,2,"0.50"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SUM-159-chem",0.5,8.80046000000004,2,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SUM-159-chem",0.5,10.08667,2,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SUM-159-chem",0.5,-3.98498999999998,2,"0.50"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SUM-159-chem",0.5,-0.0257299999999532,2,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SUM-159-chem",0.5,4.43529000000001,2,"0.50"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SUM-159-chem",0.5,6.55509000000001,2,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SUM-159-chem",0.5,7.36016999999998,2,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SUM-159-chem",0.5,-5.26580999999999,2,"0.50"
