context,assay,image_key,ploidy_state,G0_mM,hours,position,n_cells,image_median_bg_z,pair_id
J00 mixture,J00 mixture,SUM159_J00_Competition_G4_3_01d08h00m,high,0.1,32,3,120,0.463481546133604,SUM159_J00_Competition_G4_3_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G4_3_01d08h00m,low,0.1,32,3,181,0.733627680074716,SUM159_J00_Competition_G4_3_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G5_2_01d08h00m,low,0.1,32,2,191,0.377587660462834,SUM159_J00_Competition_G5_2_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G5_2_01d08h00m,high,0.1,32,2,152,0.267700509699038,SUM159_J00_Competition_G5_2_01d08h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G5_4_01d16h00m,high,0.1,40,4,122,0.533643250692541,SUM159_J00_Competition_G5_4_01d16h00m
J00 mixture,J00 mixture,SUM159_J00_Competition_G5_4_01d16h00m,low,0.1,40,4,123,0.845305726179424,SUM159_J00_Competition_G5_4_01d16h00m
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C10_2_01d08h00m,high,0.5,32,2,174,0.655965250072551,M00b chem|0.5|32|2
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C11_2_01d08h00m,high,1,32,2,203,0.70119827488961,M00b chem|1|32|2
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d08h00m,low,0.1,32,2,74,0.573699663993932,M00b chem|0.1|32|2
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d08h00m,low,0.25,32,2,179,0.720378223701756,M00b chem|0.25|32|2
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C5_2_01d08h00m,low,0.5,32,2,175,0.451152852984787,M00b chem|0.5|32|2
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C6_2_01d08h00m,low,1,32,2,251,0.62566880146042,M00b chem|1|32|2
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d08h00m,high,0.1,32,2,131,0.665301883991728,M00b chem|0.1|32|2
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d08h00m,high,0.25,32,2,134,0.719481293331816,M00b chem|0.25|32|2
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D10_3_01d08h00m,high,0.5,32,3,182,0.777427306745248,M00b chem|0.5|32|3
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D11_3_01d08h00m,high,1,32,3,160,0.607532155174908,M00b chem|1|32|3
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D3_3_01d08h00m,low,0.1,32,3,56,0.362273923345229,M00b chem|0.1|32|3
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D4_3_01d08h00m,low,0.25,32,3,61,0.490717316585528,M00b chem|0.25|32|3
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D5_3_01d08h00m,low,0.5,32,3,111,0.453538445364015,M00b chem|0.5|32|3
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D6_3_01d08h00m,low,1,32,3,90,0.438594267474379,M00b chem|1|32|3
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D8_3_01d08h00m,high,0.1,32,3,157,0.57056582343897,M00b chem|0.1|32|3
M00b chem,M00b monoculture,SUM-159_M00b-IncucyteRawDataLiveDead-varyGlucose_D9_3_01d08h00m,high,0.25,32,3,155,0.707074684878948,M00b chem|0.25|32|3
