context,assay,G0_mM,hours,pair_id,size_decile,stratum_median_bg_z_low,stratum_median_bg_z_high,n_cells_low,n_cells_high,high_minus_low_bg_z
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|3,7,0.304742340518937,0.940734897219145,12,16,0.635992556700208
M00b chem,M00b monoculture,1,32,M00b chem|1|32|2,1,1.0581464710193,1.10347728300139,36,24,0.0453308119820863
M00b chem,M00b monoculture,1,32,M00b chem|1|32|2,2,0.782933102373373,1.15802321972003,41,20,0.375090117346654
M00b chem,M00b monoculture,1,32,M00b chem|1|32|2,3,0.754943418267514,1.13359321100825,37,19,0.378649792740732
M00b chem,M00b monoculture,1,32,M00b chem|1|32|2,4,0.580272295759004,0.651544792267686,43,11,0.0712724965086821
M00b chem,M00b monoculture,1,32,M00b chem|1|32|2,5,0.517095941083605,0.585368050844697,24,15,0.0682721097610923
M00b chem,M00b monoculture,1,32,M00b chem|1|32|2,6,0.347824032007308,0.687863699858228,38,18,0.34003966785092
M00b chem,M00b monoculture,1,32,M00b chem|1|32|2,7,0.602622782679034,0.616686383805999,14,28,0.0140636011269643
M00b chem,M00b monoculture,1,32,M00b chem|1|32|3,3,0.676040383112096,0.771965472255355,10,15,0.0959250891432587
M00b chem,M00b monoculture,1,32,M00b chem|1|32|3,4,0.501479220294019,0.963538336445994,11,15,0.462059116151975
M00b chem,M00b monoculture,1,32,M00b chem|1|32|3,5,0.499510235233996,0.910407099040794,16,10,0.410896863806799
M00b chem,M00b monoculture,1,32,M00b chem|1|32|3,6,0.263783588986179,0.57830227290924,10,14,0.314518683923061
M00b chem,M00b monoculture,1,32,M00b chem|1|32|3,7,0.232738586661396,0.839344406232352,20,14,0.606605819570956
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G4_3_01d08h00m,5,0.643748241414467,0.505355549628929,19,13,-0.138392691785538
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G4_3_01d08h00m,6,0.635762044430941,0.262028280449343,22,11,-0.373733763981598
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G4_3_01d08h00m,7,0.632926365791863,0.583293308959101,15,18,-0.0496330568327618
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G4_3_01d08h00m,8,0.63137397641445,0.392920891589483,20,17,-0.238453084824967
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G4_3_01d08h00m,9,0.524021838303106,0.466266587654127,12,13,-0.0577552506489784
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G4_3_01d08h00m,10,0.627561001387261,0.248544339165564,26,23,-0.379016662221697
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,1,0.744011371162068,0.501092046611314,16,17,-0.242919324550755
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,2,0.44831735957124,0.243791348531603,28,12,-0.204526011039637
