context,G0_mM,hours,ploidy_state,n_cells,median_cell_area_px,cell_q10,cell_q90,median_nuclear_area_px,nuclear_q10,nuclear_q90,context_label,G0_label
I00 fuse,1,48,high,11920,1123,607,1878,211,144,291,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,56,high,12526,1079,606,1779,211,147,292,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,64,high,12027,1058,588.6,1742,208,145,296,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,80,high,8838,908,491,1633,187,115,286,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,88,high,7179,861,455,1599,183,106,285,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,96,high,5620,853,453,1592,186,103,287.1,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,104,high,4519,847,460.8,1567.4,191,104,298,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,112,high,3537,810,437,1503.4,192,94,305.4,SUM-159-fuse I00,★ 1 mM
I00 fuse,1,120,high,2089,809,443.8,1502.4,201,89,316,SUM-159-fuse I00,★ 1 mM
I00 fuse,0,0,low,2466,859,487.5,1588.5,153,100,250.5,SUM-159-fuse I00,0 mM
I00 fuse,0,8,low,2886,1145,646,1913,146,102,228,SUM-159-fuse I00,0 mM
I00 fuse,0,16,low,3132,1226,724,2059.7,144,105,227,SUM-159-fuse I00,0 mM
I00 fuse,0,24,low,3152,1280,736,2175.9,150,110,235,SUM-159-fuse I00,0 mM
I00 fuse,0,32,low,3008,1330.5,740,2269,155,114,249,SUM-159-fuse I00,0 mM
I00 fuse,0,40,low,2717,1357,748,2266,159,115,252,SUM-159-fuse I00,0 mM
I00 fuse,0,48,low,2322,1310.5,686,2317.1,162.5,113,272.9,SUM-159-fuse I00,0 mM
I00 fuse,0,56,low,1685,1256,631,2310.8,166,109,284.2,SUM-159-fuse I00,0 mM
I00 fuse,0,64,low,1113,1148,560,2216.6,164,104,277.8,SUM-159-fuse I00,0 mM
I00 fuse,0,80,low,346,1063,512,2392,168.5,95,276.5,SUM-159-fuse I00,0 mM
I00 fuse,0,88,low,224,951,448.2,2271.7,170,92.9,290.5,SUM-159-fuse I00,0 mM
I00 fuse,0,96,low,161,917,386,2014,173,84,282,SUM-159-fuse I00,0 mM
I00 fuse,0,104,low,114,848,296.6,2031.8,168,82.8,348.2,SUM-159-fuse I00,0 mM
I00 fuse,0,112,low,104,741.5,266.3,1902.6,152,78.9,408.5,SUM-159-fuse I00,0 mM
I00 fuse,0,120,low,78,658.5,202.5,1865.7,152,60.4,373.3,SUM-159-fuse I00,0 mM
I00 fuse,0.1,0,low,2667,830,473,1570.4,155,102.6,250.4,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,8,low,3169,1044,600,1803.8,140,99,217,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,16,low,3797,1320,759.6,2102.4,147,105,221,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,24,low,4102,1483,879.1,2366.9,160,116,239,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,32,low,4262,1587.5,939,2553.9,171,124,253,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,40,low,4384,1633,964,2666.7,179,127,260.7,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,48,low,4420,1647,957,2763.2,184,129,272,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,56,low,4395,1620,870.4,2732.6,186,129,276,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,64,low,4009,1513,762.6,2729.2,185,125,282,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,80,low,2139,1260,576,2466.6,178,112,292,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,88,low,1337,1139,553.6,2388,175,103,288,SUM-159-fuse I00,★ 0.1 mM
