context,G0_mM,ploidy_state,n_cells,bin_left_px,bin_right_px,metric,fraction_cells,median_px
I00 fuse,0.5,high,1763,768.624610039774,876.712387296869,cell,0.0594543553771962,1316
I00 fuse,0.5,high,2948,1692.66661503788,1930.69772888325,cell,0.0994165851684484,1316
I00 fuse,0.5,high,1268,2202.20194998738,2511.88643150958,cell,0.0427612720466732,1316
I00 fuse,0.5,high,3494,1140.62492385132,1301.02521691083,cell,0.117829561933025,1316
I00 fuse,0.5,high,3687,1301.02521691083,1483.98178896756,cell,0.124338178261896,1316
I00 fuse,0.5,high,3069,1000,1140.62492385132,cell,0.103497116649243,1316
I00 fuse,0.5,high,1354,673.862716803094,768.624610039774,cell,0.0456614845040974,1316
I00 fuse,0.5,high,2337,876.712387296869,1000,cell,0.0788115873604694,1316
I00 fuse,0.5,high,2231,1930.69772888325,2202.20194998738,cell,0.0752369068896908,1316
I00 fuse,0.5,high,589,517.947467923121,590.783791158794,cell,0.019863082993289,1316
I00 fuse,0.5,high,731,2511.88643150958,2865.12026966378,cell,0.0246518058881058,1316
I00 fuse,0.5,high,91,3727.59372031494,4251.78630338289,cell,0.00306882946076282,1316
I00 fuse,0.5,high,385,454.090961097248,517.947467923121,cell,0.0129835092570735,1316
I00 fuse,0.5,high,18,206.198600950222,235.195263507096,cell,0.00060702121201902,1316
I00 fuse,0.5,high,87,305.99496872072,349.025487895958,cell,0.00293393585809193,1316
I00 fuse,0.5,high,5,6309.57344480193,7196.85673001152,cell,0.000168617003338617,1316
I00 fuse,0.5,high,15,180.776867696343,206.198600950222,cell,0.00050585101001585,1316
I00 fuse,0.5,high,142,349.025487895958,398.107170553497,cell,0.00478872289481671,1316
I00 fuse,0.5,high,34,4251.78630338289,4849.6934285282,cell,0.00114659562270259,1316
I00 fuse,0.5,high,36,235.195263507096,268.269579527973,cell,0.00121404242403804,1316
I00 fuse,0.5,high,50,268.269579527973,305.99496872072,cell,0.00168617003338617,1316
I00 fuse,0.5,high,1,7196.85673001152,8208.91415963826,cell,3.37234006677233e-05,1316
I00 fuse,0.5,high,31,4849.6934285282,5531.68119761723,cell,0.00104542542069942,1316
I00 fuse,0.5,high,9,5531.68119761723,6309.57344480193,cell,0.00030351060600951,1316
I00 fuse,0.5,high,6,158.489319246111,180.776867696343,cell,0.00020234040400634,1316
I00 fuse,0.5,high,5,138.949549437314,158.489319246111,cell,0.000168617003338617,1316
I00 fuse,1,high,2465,768.624610039774,876.712387296869,cell,0.0697727079736194,1206
I00 fuse,1,high,736,454.090961097248,517.947467923121,cell,0.0208327436383707,1206
I00 fuse,1,high,2004,673.862716803094,768.624610039774,cell,0.0567239378414334,1206
I00 fuse,1,high,4244,1140.62492385132,1301.02521691083,cell,0.120127940219083,1206
I00 fuse,1,high,276,349.025487895958,398.107170553497,cell,0.00781227886438903,1206
I00 fuse,1,high,74,268.269579527973,305.99496872072,cell,0.0020945965071188,1206
I00 fuse,1,high,2986,1692.66661503788,1930.69772888325,cell,0.0845197995980639,1206
I00 fuse,1,high,1501,590.783791158794,673.862716803094,cell,0.0424863426646664,1206
I00 fuse,1,high,3765,1483.98178896756,1692.66661503788,cell,0.10656967363922,1206
I00 fuse,1,high,4209,1301.02521691083,1483.98178896756,cell,0.119137252681933,1206
I00 fuse,1,high,3866,1000,1140.62492385132,cell,0.109428514817855,1206
I00 fuse,1,high,466,398.107170553497,454.090961097248,cell,0.0131902969232076,1206
I00 fuse,1,high,3175,876.712387296869,1000,cell,0.0898695122986781,1206
I00 fuse,1,high,1159,2202.20194998738,2511.88643150958,cell,0.0328059101587931,1206
I00 fuse,1,high,610,2511.88643150958,2865.12026966378,cell,0.0172662685046279,1206
I00 fuse,1,high,1050,517.947467923121,590.783791158794,cell,0.0297206261145235,1206
I00 fuse,1,high,1964,1930.69772888325,2202.20194998738,cell,0.0555917235132611,1206
I00 fuse,1,high,114,3268.02758941013,3727.59372031494,cell,0.00322681083529112,1206
I00 fuse,1,high,30,4251.78630338289,4849.6934285282,cell,0.000849160746129242,1206
I00 fuse,1,high,266,2865.12026966378,3268.02758941013,cell,0.00752922528234595,1206
I00 fuse,1,high,63,3727.59372031494,4251.78630338289,cell,0.00178323756687141,1206
I00 fuse,1,high,15,180.776867696343,206.198600950222,cell,0.000424580373064621,1206
I00 fuse,1,high,157,305.99496872072,349.025487895958,cell,0.00444394123807637,1206
I00 fuse,1,high,52,235.195263507096,268.269579527973,cell,0.00147187862662402,1206
I00 fuse,1,high,2,106.800043251458,121.818791201012,cell,5.66107164086162e-05,1206
I00 fuse,1,high,6,121.818791201012,138.949549437314,cell,0.000169832149225848,1206
I00 fuse,1,high,5,138.949549437314,158.489319246111,cell,0.00014152679102154,1206
I00 fuse,1,high,26,206.198600950222,235.195263507096,cell,0.00073593931331201,1206
I00 fuse,1,high,7,5531.68119761723,6309.57344480193,cell,0.000198137507430157,1206
I00 fuse,1,high,15,4849.6934285282,5531.68119761723,cell,0.000424580373064621,1206
I00 fuse,1,high,18,158.489319246111,180.776867696343,cell,0.000509496447677545,1206
I00 fuse,0.1,low,480,2865.12026966378,3268.02758941013,cell,0.0279541086715975,1589
I00 fuse,0.1,low,102,454.090961097248,517.947467923121,cell,0.00594024809271446,1589
I00 fuse,0.1,low,2238,1692.66661503788,1930.69772888325,cell,0.130336031681323,1589
I00 fuse,0.1,low,1244,1000,1140.62492385132,cell,0.0724477316405568,1589
I00 fuse,0.1,low,141,517.947467923121,590.783791158794,cell,0.00821151942228175,1589
I00 fuse,0.1,low,16,235.195263507096,268.269579527973,cell,0.000931803622386582,1589
I00 fuse,0.1,low,195,590.783791158794,673.862716803094,cell,0.0113563566478365,1589
I00 fuse,0.1,low,29,268.269579527973,305.99496872072,cell,0.00168889406557568,1589
I00 fuse,0.1,low,1892,1930.69772888325,2202.20194998738,cell,0.110185778347213,1589
I00 fuse,0.1,low,317,673.862716803094,768.624610039774,cell,0.0184613592685342,1589
I00 fuse,0.1,low,2364,1483.98178896756,1692.66661503788,cell,0.137673985207618,1589
I00 fuse,0.1,low,1292,2202.20194998738,2511.88643150958,cell,0.0752431425077165,1589
I00 fuse,0.1,low,1759,1140.62492385132,1301.02521691083,cell,0.102440160736125,1589
I00 fuse,0.1,low,2216,1301.02521691083,1483.98178896756,cell,0.129054801700542,1589
I00 fuse,0.1,low,749,876.712387296869,1000,cell,0.0436200570729719,1589
I00 fuse,0.1,low,454,768.624610039774,876.712387296869,cell,0.0264399277852193,1589
I00 fuse,0.1,low,852,2511.88643150958,2865.12026966378,cell,0.0496185428920855,1589
I00 fuse,0.1,low,272,3268.02758941013,3727.59372031494,cell,0.0158406615805719,1589
I00 fuse,0.1,low,176,3727.59372031494,4251.78630338289,cell,0.0102498398462524,1589
I00 fuse,0.1,low,13,206.198600950222,235.195263507096,cell,0.000757090443189098,1589
I00 fuse,0.1,low,78,398.107170553497,454.090961097248,cell,0.00454254265913459,1589
I00 fuse,0.1,low,2,138.949549437314,158.489319246111,cell,0.000116475452798323,1589
I00 fuse,0.1,low,6,158.489319246111,180.776867696343,cell,0.000349426358394968,1589
I00 fuse,0.1,low,61,4849.6934285282,5531.68119761723,cell,0.00355250131034884,1589
